SurgeryType,Category,Question,Alternate_Questions,Answer
acdf,Long-Term Outlook,When can I start exercising again?,When can I go back to the gym?; What kind of exercise is safe?,"We want you walking immediately, as it's the best exercise for recovery. You can typically resume low-impact cardio, like using a stationary bike or elliptical, around 4-6 weeks. We will clear you for more strenuous activities and a return to the gym once we see evidence of a solid fusion on your x-rays."
acdf,Follow-Up,How often will I need to get x-rays after the surgery?,Will you be checking the fusion?; What are the follow-up appointments for?,"We will get an x-ray at most of your post-operative visits, typically around 2 weeks, 6 weeks, 3 months, and beyond. These images are essential for us to monitor the hardware and confirm that the bones are fusing together properly."
acdf,About the Procedure,Will I be able to feel the plate and screws in my neck?,- Is the hardware noticeable? <br>- Can you feel the metal plate under the skin? <br>- Will the plate set off metal detectors?,"No, you will not be able to feel the plate and screws. They are very low-profile and are placed deep beneath your muscles. They will not set off metal detectors at the airport."
acdf,About the Procedure,Will my neck be stiff forever?,- How much motion will I lose in my neck? <br>- Will I still be able to turn my head? <br>- Does a fusion mean my neck won't move?,"This is a very common concern. For a one or two-level fusion, most patients notice very little, if any, change in their overall range of neck motion. The majority of your neck's rotation comes from the very top of your spine, which we are not operating on."
acdf,About the Procedure,What is the plate made of?,- What kind of metal is used in the hardware? <br>- Is the plate titanium? <br>- Can I have an allergic reaction to the metal?,"The plate and screws are made of medical-grade titanium alloy. This material is extremely biocompatible, and allergic reactions are incredibly rare. It is very strong and safe for use inside the body."
acdf,About the Procedure,Does this surgery put stress on the other discs?,- Will I have problems with other levels later? <br>- Does fusing one level cause issues above or below? <br>- What is adjacent segment disease?,"Fusing a level can place slightly more stress on the discs above and below the fusion. While many people never have a problem, it is possible that this can accelerate the wear and tear on those adjacent discs over time, which might require treatment in the future."
acdf,The Surgery,How long does an ACDF surgery take?,- How many hours is the ACDF operation? <br>- What is the surgical time? <br>- How long will I be in the operating room?,"The surgery for a single-level ACDF usually takes about 60 to 90 minutes. If more than one level is being fused, it will take a bit longer."
acdf,The Surgery,What is neuromonitoring?,- How do you monitor my spinal cord? <br>- What is that procedure that keeps my nerves safe? <br>- Can you explain the nerve monitoring?,Neuromonitoring is a safety measure we use during surgery. A specialist monitors the function of your spinal cord and nerves in real-time while you are asleep. This gives us immediate feedback and helps us protect your spinal cord from injury throughout the entire procedure.
acdf,The Surgery,Will I have a drain in my neck?,- What is the tube coming out of my incision? <br>- Why is there a drain? <br>- How long does the drain stay in?,"Yes, it's common to have a small, temporary drain placed next to the incision. This helps remove any excess fluid that can collect after surgery, which reduces swelling and pressure. The drain is usually removed by your nurse the morning after surgery, before you go home."
acdf,Risks & Complications,What are the chances my voice will be hoarse?,- Is it common to have a raspy voice? <br>- Could the surgery permanently affect my voice? <br>- Why does my throat feel funny?,A temporary hoarseness or a raspy voice is quite common after ACDF. This happens because the nerve that controls your vocal cords is very close to the surgical area and can get stretched or irritated. This almost always resolves within a few days or weeks. Permanent voice change is very rare.
acdf,Risks & Complications,Is it possible the bones won't fuse?,"- What happens if the fusion doesn't take? <br>- What is a ""non-union""? <br>- How likely is it that the bones don't heal together?","A ""non-union,"" where the bones fail to fuse, is a possible but uncommon complication. The risk is much higher for people who smoke. If a non-union does occur and causes symptoms, another surgery may be needed to get the bones to heal properly."
acdf,Risks & Complications,Could the plate or screws come loose?,- Can the hardware break or move? <br>- What is the risk of hardware failure? <br>- Is the plate secure?,"The hardware we use is extremely strong and secure. The risk of a screw or plate breaking or moving is very low, especially when you follow your post-operative activity restrictions. We will check the hardware with x-rays at your follow-up visits."
acdf,After Surgery,How long will I have to stay in the hospital?,- Is ACDF an outpatient surgery? <br>- Will I go home the same day? <br>- What is the typical hospital stay?,"Most patients stay in the hospital for one night for observation after an ACDF. This allows us to monitor your swallowing, manage your pain, and make sure you're safe to go home. Some patients undergoing a single-level fusion may be able to go home the same day."
acdf,After Surgery,What kind of food should I eat when I get home?,- What is a good diet after neck surgery? <br>- Are there foods that are easier to swallow? <br>- Do I need to be on a special diet?,"Because you will have a sore throat, it's best to stick to soft foods for the first few days. Things like soups, yogurt, mashed potatoes, smoothies, and ice cream are good choices. Avoid dry or tough foods like bread and steak. It's important to stay hydrated."
acdf,After Surgery,When can I wash my hair?,- Is it okay to raise my arms above my head? <br>- How can I wash my hair if I can't bend my neck? <br>- Are there restrictions on showering?,"You can shower the day after surgery and it is okay to raise your arms to wash your hair. Try to keep your neck in a neutral position and avoid looking up or down too much. If you have a collar, you can remove it to shower."
acdf,After Surgery,Will I have pain between my shoulder blades?,- Why does my upper back hurt after neck surgery? <br>- Is shoulder blade pain normal? <br>- What causes the pain between the shoulders?,"Yes, it is very common to experience some aching pain between your shoulder blades. When we restore the normal disc height, it can stretch the muscles and ligaments in your neck and upper back. This is a normal part of the healing process and should improve over a few weeks or months."
acdf,After Surgery,When can I look up and down?,- How much can I move my neck? <br>- Are there limits on my neck motion? <br>- Can I turn my head side to side?,"For the first few weeks, you should avoid extreme neck movements. Try to keep your neck in a neutral, straight position as much as possible. You can turn your head gently to look side to side, but avoid looking all the way up or bending your chin all the way to your chest."
acdf,Pain Management,Will I have muscle spasms in my neck and shoulders?,- Is it normal for my neck to feel tight? <br>- What can I do for muscle spasms? <br>- Why are my shoulder muscles so sore?,"Yes, muscle spasms in the neck and shoulders are very common after this surgery. The muscles are reacting to the procedure. We will give you a prescription for a muscle relaxant to help with this, and applying an ice pack can also provide relief."
acdf,Pain Management,Is it better to use ice or heat?,"- Should I put ice on my neck? <br>- Can I use a heating pad? <br>- What's better for the pain, heat or cold?","For the first few days, ice is best. It will help reduce swelling and numb the area, which eases pain and muscle spasms. You can apply an ice pack to the back of your neck or shoulders for 15-20 minutes at a time. After the first week, you can use whichever feels better."
acdf,Pain Management,Will I still have numbness or tingling in my hands?,- Why are my fingers still numb? <br>- How long does it take for the numbness to go away? <br>- Will the tingling ever stop?,"It's very common for numbness and tingling to take longer to resolve than pain. Nerves heal very slowly, and it can take several weeks or even months for these sensations to fully disappear. Be patient with the healing process."
acdf,Activity & Recovery,What are the rules for wearing the neck collar?,- When can I take the brace off? <br>- Do I have to sleep in the collar? <br>- Can I drive with the brace on?,"If you are given a collar, you must wear it at all times, including while sleeping. You can take it off for short periods to shower or shave. You should not drive while wearing the collar as it restricts your ability to turn your head."
acdf,Activity & Recovery,How do I clean my neck brace?,- Can I wash the collar? <br>- What are the instructions for cleaning the brace? <br>- How do I keep the collar from smelling?,You can wash the soft pads of the collar by hand with mild soap and water and let them air dry. You can wipe the hard plastic parts clean with a damp cloth. It's a good idea to have two sets of pads so you can wear one while the other is drying.
acdf,Activity & Recovery,When can I travel?,- Can I ride in a car for a long trip? <br>- When is it safe to fly on a plane? <br>- Are there restrictions on travel?,"You can ride as a passenger in a car as soon as you feel up to it. For long trips, you should plan to stop every hour or so to get out and walk around. We generally recommend waiting at least 4-6 weeks before flying to reduce the risk of blood clots."
acdf,Activity & Recovery,What can I do to help my bones fuse faster?,- Is there anything I can do to improve my outcome? <br>- How can I ensure a successful fusion? <br>- What helps with bone healing?,The single most important thing you can do is to not smoke. Nicotine is the enemy of a successful fusion. Eating a healthy diet with enough protein and calcium is also helpful. Following your activity restrictions and walking regularly will also promote good blood flow and healing.
acdf,Long-Term Outlook,How long does it take for the fusion to be solid?,- When is the bone fully healed? <br>- What is the fusion success rate? <br>- How long until the fusion is complete?,"A fusion is a slow process. While you will feel much better within weeks, it takes at least 3 to 6 months for the bone to become solid, and it can continue to mature for up to a year. We will track your healing with x-rays. The success rate for achieving a solid fusion is very high, typically well over 90%."
acdf,Long-Term Outlook,Will I need to have this surgery again?,- Is this a permanent fix? <br>- Could I need another neck surgery in the future? <br>- How long does an ACDF last?,"For the level that is fused, it is a permanent fix. However, as we discussed, the levels above or below the fusion can wear out over time. While most people do not need another operation, it is a possibility years down the road."
acdf,Follow-Up,How often will I need to get x-rays after the surgery?,- Will you be checking the fusion? <br>- What are the follow-up appointments for? <br>- How do you monitor my healing?,"We will get an x-ray at most of your post-operative visits, typically around 2 weeks, 6 weeks, 3 months, and beyond. These images are essential for us to monitor the hardware and confirm that the bones are fusing together properly."
spinal deformity,Scope of Surgery,Why is my surgery so much more complex than a standard fusion?,"- What makes a deformity correction a bigger operation? <br>- Is scoliosis surgery considered major surgery? <br>- How is this different from a one or two-level fusion? <br>- Why do you have to fuse so many levels of my spine? <br>- What does it mean to have a ""complex"" spine surgery?","Your surgery is more complex because our goal is not just to stabilize a single painful segment, but to correct the overall alignment and curvature of your spine, such as with scoliosis. This often involves fusing multiple vertebrae, using more instrumentation like rods and screws, and sometimes making precise cuts in the bone, called osteotomies, to realign the spine. It's a much larger-scale procedure aimed at restoring your overall balance."
spinal deformity,Scope of Surgery,What are the main goals of correcting my spinal deformity?,- What are you trying to achieve with this surgery? <br>- Will this surgery make me stand up straighter? <br>- Is the purpose to stop my curve from getting worse? <br>- How will this operation help my pain and breathing? <br>- What is the desired outcome of this procedure?,"We have three primary goals. First, to stop the progression of your curve. Second, to correct the deformity as much as is safely possible to improve your posture and balance. And third, to relieve pressure on your nerves and internal organs, which can reduce pain and, in some cases, improve lung function."
spinal deformity,Scope of Surgery,How long will this surgery take?,- How many hours will I be in the operating room? <br>- What is the estimated duration for a deformity correction? <br>- Is this an all-day surgery? <br>- Why does the surgery take so long? <br>- What is the typical surgical time for scoliosis?,"This is a long and meticulous operation. Depending on the complexity of your curve and the number of levels we need to fuse, the surgery can take anywhere from four to eight hours, or sometimes longer. We take all the time necessary to perform the correction safely and effectively."
spinal deformity,Scope of Surgery,What is an osteotomy?,"- You mentioned cutting the bone, what is that for? <br>- Why do you need to perform an osteotomy? <br>- Is an osteotomy a common part of this surgery? <br>- Can you explain what an osteotomy is? <br>- What does it mean to have a spinal osteotomy?","An osteotomy is a procedure where we make a precise surgical cut into a vertebra. In cases of a rigid spinal deformity, this allows us to ""loosen"" the spine, which gives us the ability to realign it into a much better position before we lock it in place with the rods and screws."
spinal deformity,Scope of Surgery,Will I be taller after the surgery?,- How much height will I gain from scoliosis surgery? <br>- Will correcting the curve make me taller? <br>- Can I expect to be taller after the operation? <br>- Does the surgery increase your height? <br>- Is gaining height a benefit of the surgery?,"Yes, most patients do gain some height after a deformity correction. By straightening the curve in your spine, we are restoring your natural trunk height. The amount gained depends on the severity of your curve, but gaining one to two inches is common."
spinal deformity,Risks & Complications,Will I need a blood transfusion?,- Is it common to need blood during this surgery? <br>- How much blood is typically lost? <br>- What are the chances I'll need a transfusion? <br>- Have you made arrangements for me to receive blood? <br>- Is blood loss a major concern?,"Due to the length of the surgery and the number of spinal levels involved, blood loss is expected, and it is often necessary to give a blood transfusion either during or after the procedure. This is a normal part of this type of surgery, and we have the blood products ready for you to ensure your safety."
spinal deformity,Risks & Complications,What is the risk of paralysis with such a big surgery?,- Could I be paralyzed from a scoliosis correction? <br>- How do you protect my spinal cord when moving the spine? <br>- Is nerve damage or paralysis a common risk? <br>- What safety measures are in place to prevent paralysis? <br>- How do you ensure my spinal cord is safe?,"The risk of paralysis is the most serious risk, but fortunately, it is very rare. We use continuous, real-time spinal cord monitoring throughout the entire operation. This system acts as an early warning system, alerting us to any potential stress on the spinal cord so we can react immediately. Your safety is our absolute highest priority."
spinal deformity,Risks & Complications,"What is a ""major"" vs. ""minor"" risk?","- Can you explain the difference between the types of complications? <br>- What do you mean by a ""bump in the road""? <br>- Are the major risks common? <br>- What are some of the less serious complications? <br>- How do you categorize the risks?","We consider ""minor"" risks to be complications that can be easily treated and don't affect your final outcome, like a superficial infection or temporary nerve irritation—they are a ""bump in the road."" ""Major"" risks, like a deep infection or paralysis, are those that could have a significant, long-term impact. Thankfully, these major complications are very rare."
spinal deformity,Risks & Complications,What is the risk that the rods or screws could break?,- Can the hardware fail? <br>- Is it possible for a rod to break in the future? <br>- What happens if a screw comes loose? <br>- How strong is the instrumentation? <br>- What is the rate of hardware failure?,"The titanium and cobalt-chrome hardware we use is incredibly strong. The most common reason for a rod to break is if the bones fail to fuse together (a ""pseudarthrosis""). The rod is acting like a paperclip being bent back and forth and can eventually break. This is why achieving a solid fusion is so critical, and why quitting smoking is mandatory."
spinal deformity,Hospital Stay,How long will I be in the hospital?,- What is the typical hospital stay for deformity surgery? <br>- When will I be able to go home? <br>- How many days will I be admitted? <br>- Is it a long hospital stay? <br>- What determines when I can be discharged?,"This is a major surgery that requires a longer hospital stay than a simple fusion. Most patients are in the hospital for three to seven days. Your discharge depends on how well your pain is controlled, your ability to walk with the physical therapist, and your overall medical stability."
spinal deformity,Hospital Stay,Is it true I might go to the ICU after surgery?,- Why would I need to go to the Intensive Care Unit? <br>- Is a stay in the ICU common after this surgery? <br>- What happens in the ICU? <br>- Will I wake up in the ICU? <br>- What is the purpose of the ICU stay?,"Yes, it is very common to spend one or two days in the ICU after this surgery. This allows for very close, one-on-one monitoring of your heart, lungs, and vital signs as you recover from a long anesthesia. In some cases, if the anesthesiologist feels it's safest, you may even remain on the breathing tube overnight in the ICU. It is a standard safety measure."
spinal deformity,Hospital Stay,Will I be in a lot of pain in the hospital?,- How will you control my pain after the surgery? <br>- What is a PCA or pain pump? <br>- Is the pain manageable after the operation? <br>- What should I expect for post-operative pain? <br>- How do you manage pain right after surgery?,"We expect you to have significant pain, and we have a robust plan to manage it. You will likely have a ""Patient-Controlled Analgesia"" or PCA pump. This allows you to push a button to give yourself a small, safe dose of IV pain medicine whenever you need it. We will also use oral medications to keep you as comfortable as possible."
spinal deformity,Hospital Stay,When will I be able to get out of bed?,- Will I be on bedrest after the surgery? <br>- How soon will I have to walk? <br>- When does physical therapy start? <br>- Will I be able to stand up the next day? <br>- How quickly do you get patients moving?,We will have you sit on the side of the bed and likely get you up to stand or sit in a chair on the very first day after your surgery. Physical therapy will begin right away in the hospital. Early mobilization is one of the most important keys to a successful recovery.
spinal deformity,Hospital Stay,Will I need to go to a rehab facility after the hospital?,- Can I go straight home from the hospital? <br>- What is an inpatient rehabilitation facility? <br>- Who decides if I need to go to rehab? <br>- Is it common to need rehab after this surgery? <br>- What is the plan if I can't go home right away?,"That is a possibility. The physical and occupational therapists will evaluate you in the hospital to determine if you can safely go home. If you need more intensive therapy before you are ready, we will arrange for you to go to an inpatient rehabilitation facility for a short time. The goal is to make sure you are safe and have the support you need."
spinal deformity,Recovery & Rehab,How long is the total recovery period?,- When will I feel completely back to normal? <br>- What is the full recovery timeline for scoliosis surgery? <br>- Is it a year-long recovery? <br>- How long does it take to heal from a deformity fusion? <br>- What does the recovery process look like?,"Full recovery from a deformity correction is a long process. You will feel stronger each week, but it typically takes six to nine months to feel significantly better and close to your baseline. However, the bone fusion will continue to mature and solidify for a full year or even longer. You must be patient with your body."
spinal deformity,Recovery & Rehab,Will I have to wear a back brace?,- Do I need a brace after surgery? <br>- For how long will I wear the brace? <br>- What are the rules for wearing the brace? <br>- Is the brace custom-molded? <br>- What is the purpose of the brace?,"Yes, you will be fitted with a custom back brace after your surgery. The brace provides additional support to your spine and helps the fusion heal. You will typically need to wear it for about three months whenever you are up and out of bed."
spinal deformity,Recovery & Rehab,"What does ""no BLT"" mean for me?","- What are the BLT restrictions after a big fusion? <br>- How strict is the ""no bending, lifting, or twisting"" rule? <br>- Can you give me examples of what I absolutely cannot do? <br>- How long do the BLT precautions last? <br>- What movements must I avoid to protect my fusion?","The ""no Bending, Lifting, or Twisting"" rule is the most important part of your recovery. It is not a suggestion; it is a strict requirement to protect the fusion. No bending at the waist, no lifting anything heavier than 10 pounds, and no twisting of your torso. You must follow this for at least three months, and often longer."
spinal deformity,Recovery & Rehab,Will I need a walker at home?,- For how long will I need to use a walker? <br>- Is a walker necessary for everyone? <br>- Will the hospital provide a walker? <br>- How do I use a walker correctly? <br>- Why is a walker important?,"Yes, you will be asked to use a walker for at least the first six weeks after your surgery. The walker provides stability, reduces the risk of a fall, and helps you maintain an upright posture while you are regaining your strength."
spinal deformity,Recovery & Rehab,When can I go back to school or work?,- How much time will I need to take off? <br>- What is the typical time off for this surgery? <br>- When can I return to a desk job? <br>- How long until I can do physical work? <br>- What is the return-to-work timeline?,"Returning to work or school depends on your progress and the nature of your activities. For a desk job or school, you can typically return in 6 to 12 weeks, often starting with half-days. Returning to a physically demanding job will take much longer, likely six months or more."
spinal deformity,Recovery & Rehab,Will I need help with daily activities like dressing?,"- Will I be able to take care of myself at home? <br>- What kind of help will I need with personal care? <br>- Will I need special equipment to get dressed? <br>- How will I put on my socks and shoes? <br>- What are ""adaptive equipment"" aids?","Yes, you will need help. Due to the ""no bending"" rule, simple tasks like putting on socks and shoes will be impossible at first. The occupational therapist will show you how to use long-handled tools like a reacher and a sock aid to help you be more independent, but you will need assistance."
spinal deformity,Life After Surgery,How long will my back incision be?,- Will I have a big scar down my back? <br>- How long is the cut for scoliosis surgery? <br>- What will the scar look like? <br>- Is the incision very noticeable? <br>- Where will the scar be located?,"You will have a long, vertical incision down the middle of your back. The length depends entirely on how many levels of your spine need to be fused. We will close it as carefully as possible, but a long scar is an unavoidable part of this surgery."
spinal deformity,Life After Surgery,Will I be able to have children in the future?,- Can I get pregnant after a spinal fusion? <br>- Does this surgery affect my ability to have a baby? <br>- Is it safe to have an epidural with a fusion? <br>- Will the hardware interfere with pregnancy? <br>- Does scoliosis surgery impact childbirth?,"Yes, absolutely. Having a spinal fusion does not prevent you from having a normal pregnancy and delivery in the future. You should always inform your obstetrician and anesthesiologist about your surgery, but it is very common and safe."
spinal deformity,Life After Surgery,Can I ever play sports again?,- Will I be able to return to my sport? <br>- What activities are safe after a long fusion? <br>- Are there any permanent restrictions? <br>- When can I resume athletic activities? <br>- Is it safe to play contact sports?,"After your fusion is completely solid, which can take up to a year, you can return to many activities. We generally recommend avoiding high-impact or collision sports like football or rugby permanently. However, activities like swimming, biking, and light jogging are usually fine. We will discuss your specific goals."
spinal deformity,Life After Surgery,Will I feel stiff for the rest of my life?,- How much flexibility will I lose permanently? <br>- Will I be able to bend and move normally eventually? <br>- Does a long fusion make your back feel stiff? <br>- What will my motion be like in the long run? <br>- Is the loss of motion significant?,"You will have a permanent loss of motion in the fused segments of your spine. However, your brain and body are remarkable at adapting. Most of the bending we do comes from our hips, and you will learn to use your unfused segments and hips more efficiently. Most patients adapt very well and do not feel overly restricted in their daily activities."
spinal deformity,Follow-Up,How do you know if the fusion is healing properly?,- How do you check the fusion? <br>- Will I need a CT scan after surgery? <br>- What do you look for on the x-rays? <br>- How can you tell if the bone is solid? <br>- What is the follow-up imaging schedule?,"We will monitor your fusion with a series of x-rays at your follow-up appointments. On these images, we can see the new bone forming and solidifying over time. If there is ever a question about the healing, we may order a CT scan, which gives us a much more detailed, 3D view of the fusion."
spinal deformity,Scope of Surgery,Will my back look normal after the surgery?,- Will my hump be gone? <br>- Will my shoulders be even? <br>- Can you make my back straight? <br>- How much correction can you get? <br>- Will I look different in clothes?,"The goal of the surgery is to significantly improve the curve and your overall alignment. While a perfect correction is not always possible, we aim to make your back appear much straighter and more balanced. Most patients are very pleased with the improvement in their posture and how their clothes fit afterward."
spinal deformity,Scope of Surgery,Why do you have to fuse so many bones?,- Why is my fusion so long? <br>- Can't you just fix the worst part of the curve? <br>- Why does the fusion have to go all the way up/down my back? <br>- How do you decide how many levels to fuse? <br>- Is it necessary to fuse such a large part of my spine?,"To properly balance your spine, we need to fuse the entire length of the curve. If we only fused a small part of it, the un-fused parts of the curve above and below could continue to progress, leading to problems in the future. Fusing the entire curve gives you the most stable, lasting result."
spinal deformity,Risks & Complications,What is the biggest risk I should worry about?,- What is the most serious thing that can go wrong? <br>- What is the worst-case scenario? <br>- Which complication is the most dangerous? <br>- What is the most significant risk of this surgery? <br>- What keeps you up at night as the surgeon?,"While all risks are taken seriously, the most significant potential complication is a neurologic deficit, which means injury to the spinal cord or nerves. I want to reassure you that this is extremely rare. We use advanced spinal cord monitoring throughout the entire surgery to protect you, and your safety is our absolute first priority."
spinal deformity,Risks & Complications,What happens if I get an infection?,- How do you treat an infection after surgery? <br>- Is an infection dangerous? <br>- What are the signs of an infection? <br>- How common are infections with this surgery? <br>- What if my wound gets infected?,"A deep wound infection is a serious complication. If it occurs, it often requires another surgery to wash out the wound, as well as a long course of IV antibiotics. We take extensive precautions to prevent this, including giving you antibiotics before, during, and after your surgery."
spinal deformity,Preparation,What can I do to be in the best shape for surgery?,"- How should I prepare my body for this operation? <br>- Is there any exercise I should be doing? <br>- How can I help make my recovery easier? <br>- What's the best way to get ready for surgery? <br>- What is ""pre-hab""?","The stronger and more fit you are before surgery, the better your recovery will be. The best things you can do are walking and deep breathing exercises. If you can, working with a physical therapist beforehand to optimize your condition can be very beneficial. And most importantly, you must not smoke."
spinal deformity,Preparation,Why do I need to see my regular doctor before surgery?,"- What is a ""medical clearance""? <br>- Why do I need to get cleared for surgery? <br>- What tests will my family doctor do? <br>- What if my doctor says I'm not healthy enough? <br>- Is it okay to have surgery with my other health problems?","This is a long and demanding surgery, so we need to make sure your body is ready for it. Your medical doctor will perform a thorough evaluation, including tests like an EKG and blood work, to ensure your heart, lungs, and overall health are optimized for a safe procedure and recovery."
spinal deformity,Preparation,How should I prepare my home for when I get back?,- What do I need to get for my house? <br>- How can I make my home safe for recovery? <br>- Do I need any special equipment? <br>- What should I do to get my house ready? <br>- Are there any home modifications I need?,"It's a great idea to prepare your home. Place frequently used items where you can reach them without bending. Remove throw rugs or cords you could trip over. You will need a chair with armrests, and you may want to install a hand-held shower head and a raised toilet seat."
spinal deformity,Hospital Stay,Will I wake up with a breathing tube in?,- Is it possible I'll still be on the ventilator after surgery? <br>- Why would I need to stay on a breathing machine? <br>- How long would the breathing tube stay in? <br>- Is it scary to wake up on a ventilator? <br>- What does it mean to be intubated?,"In some cases, after a very long surgery, the anesthesiologist may decide it's safest to leave the breathing tube in place overnight while you are in the ICU. This allows your body to rest and recover while the machine does the work of breathing for you. It is a standard safety measure and the tube is removed the next morning."
spinal deformity,Hospital Stay,"What is the ""log rolling"" I've heard about?",- How will the nurses move me in bed? <br>- Why do I have to turn like a log? <br>- Can I turn over by myself? <br>- What is the log roll technique? <br>- How do I move in bed without twisting?,"Log rolling is how we will turn you in bed to protect your fusion. The nurses will use a sheet to help turn your shoulders and hips at the same time, as a single unit, like a log. This prevents any twisting motion on your spine while it's healing."
spinal deformity,Hospital Stay,What is that plastic thing I have to breathe into?,- What is an incentive spirometer? <br>- Why do I have to do breathing exercises? <br>- How does that breathing machine work? <br>- What's the purpose of the breathing toy? <br>- Do I have to use the spirometer?,"That is an incentive spirometer, and it's one of the most important parts of your recovery in the hospital. Using it often helps you take deep breaths, which keeps your lungs open and clear after anesthesia. This is the best way to prevent complications like pneumonia."
spinal deformity,Hospital Stay,Will I be really swollen after the surgery?,- Is it normal to have a puffy face? <br>- Why do I look so swollen? <br>- How long will the swelling last? <br>- Is it from the IV fluids? <br>- Why is my whole body swollen?,"Yes, it is very common and normal to have significant swelling, especially in your face and body. This is caused by the large amount of IV fluids you receive during a long surgery and from being positioned on your stomach. The swelling will go away over the first few days."
spinal deformity,Recovery & Rehab,How do I clean my back brace?,- Can I wash the brace? <br>- What are the instructions for cleaning the brace? <br>- How do I keep my brace from getting smelly? <br>- Can I put the brace in the washing machine? <br>- What's the best way to care for my brace?,You can wipe the hard plastic parts of the brace with a damp cloth and mild soap. The soft liners can usually be hand-washed with gentle soap and water and should be left to air dry completely. It's a good idea to wear a thin t-shirt under your brace to keep it cleaner.
spinal deformity,Recovery & Rehab,"What does ""pain is a warning"" mean?",- How do I know if I'm doing too much? <br>- What if an activity hurts? <br>- Should I push through the pain? <br>- How do I listen to my body? <br>- What is a setback?,"It means you need to listen to your body. If you do an activity and have significantly increased pain for more than a couple of hours afterward, it's a sign that you've overdone it. Pain is your body's way of telling you to slow down and rest. Don't just take a pain pill and keep going."
spinal deformity,Recovery & Rehab,Will I need help taking a shower?,- Can I shower by myself? <br>- Will I need a shower chair? <br>- How do I wash my back? <br>- Is it safe to shower alone? <br>- What kind of help will I need in the bathroom?,"You will likely need some help with showering at first. You may feel weak or unsteady, so having someone nearby is important for safety. A shower chair and a long-handled sponge can be very helpful for washing your back and legs without bending or twisting."
spinal deformity,Recovery & Rehab,What is the most important exercise for me to do?,"- What is the best activity for my recovery? <br>- What kind of exercise should I be doing at home? <br>- Besides physical therapy, what should I do? <br>- Is there one exercise that is most important? <br>- What is the key to a good recovery?","Without a doubt, walking is the single most important exercise you can do. It helps your fusion heal, strengthens your muscles, helps your heart and lungs, and prevents blood clots. You should plan to walk several times a day, gradually increasing your distance as you feel stronger."
spinal deformity,Recovery & Rehab,How long will I need to take the strong pain medicine?,- When can I stop taking narcotics? <br>- How long will I be on the prescription pain pills? <br>- Will I be on pain medicine for months? <br>- When can I switch to Tylenol? <br>- How do I wean off the pain medication?,"You should expect to be on narcotic pain medication for several weeks after this surgery. The pain is significant, and it's important to stay ahead of it. We will work with you to create a plan to gradually decrease the narcotics as your pain improves and transition to over-the-counter options."
spinal deformity,Life After Surgery,Will my back feel weird with all that metal in it?,- Will I be able to feel the rods and screws? <br>- Does the hardware feel cold in the winter? <br>- Will my back feel heavy? <br>- Can you feel the implants under your skin? <br>- Does the metal cause any strange sensations?,"The rods and screws are placed deep under your strong back muscles, so you will not be able to feel them from the outside. The hardware is made of titanium and won't feel cold or heavy. Some patients report feeling more achy with weather changes, but most don't notice the implants at all."
spinal deformity,Life After Surgery,Will I be able to get an epidural for childbirth?,- Can I have an epidural if I have a fusion? <br>- Will the hardware get in the way of an epidural? <br>- Is it safe to get an epidural with rods in my back? <br>- Does the fusion affect pain control during labor? <br>- Should I tell the anesthesiologist about my surgery?,"Yes, in most cases, you can still have an epidural. It is very important to tell your obstetrician and the anesthesiologist about your surgery. They may need to use an ultrasound to guide the needle, but it is usually possible and safe to perform."
spinal deformity,Life After Surgery,Do I need to tell my dentist I have hardware in my back?,- Do I need to take antibiotics before dental work? <br>- Are there any special dental precautions? <br>- Does my dentist need to know about my surgery? <br>- Can I have my teeth cleaned after the fusion is healed? <br>- Are there any rules about going to the dentist?,"Yes, you should always inform your dentist about your spinal implants. Current guidelines do not typically require you to take antibiotics before a routine dental cleaning, but it is always best to make sure your dentist is aware of your surgical history."
spinal deformity,Life After Surgery,Will I be able to carry a backpack?,- Can I wear a backpack for school? <br>- Is it safe to carry a backpack after a fusion? <br>- How much weight can I carry in a backpack? <br>- Are there any special backpacks I should use? <br>- When can I start using a backpack again?,"Once your fusion is solid, usually after about a year, you can use a backpack. It is very important to use a good quality backpack with two padded shoulder straps and to wear it correctly over both shoulders. You should keep the weight in the backpack to a reasonable level, generally no more than 10-15% of your body weight."
spinal deformity,Follow-Up,What if my curve starts to get worse again?,"- Can the scoliosis come back after surgery? <br>- What is ""adding on""? <br>- Could I need another surgery in the future? <br>- What happens if the fusion stops at the wrong place? <br>- Is it possible for the curve to progress?","It is rare, but sometimes the spine can develop a new curve above or below the fused area. We call this ""adding on."" This is one of the reasons long-term follow-up is so important, so we can monitor your spine and catch any potential issues early."
spinal deformity,Follow-Up,How do you know if the screws are in the right place?,- Is it possible to put a screw in the wrong spot? <br>- How do you make sure the screws are safe? <br>- What protects my nerves from the screws? <br>- How accurate is the screw placement? <br>- What technology do you use to place the screws?,"We use advanced techniques like intra-operative CT scanning and computer navigation to place the screws with a very high degree of accuracy. This technology acts like a GPS for your spine, showing me the exact trajectory of the screw in real-time to ensure it is placed safely in the bone and away from your nerves."
